"","X.1","X","trip_id_2","var1","var2","var3","subject_id","tripletid","delta_dist_sub","subject_language","user_corr","phone_TGT","phone_OTH","phone_X","word_X","word_OTH","word_TGT","speaker_lang","fake_user_corr"
"1",1,1,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_USOZJQCKNP","stimulus1_A",0.783305834923916,"English",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",1
"2",2,2,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_PAUOGDRHWC","stimulus1_A",0.783305834923916,"English",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",0
"3",3,3,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_YNBAOIZRUF","stimulus1_A",0.783305834923916,"English",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",1
"4",4,4,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_WBDYKIXFME","stimulus1_A",0.783305834923916,"English",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",1
"5",5,5,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_ADBVFQEMRU","stimulus1_A",0.783305834923916,"English",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",0
"6",6,6,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_QLTORFAUPY","stimulus1_A",0.783305834923916,"English",0,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",0
"7",7,7,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_VHNXKCTPGY","stimulus1_A",0.783305834923916,"English",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",1
"8",8,8,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_CSKAOILVZG","stimulus1_A",0.783305834923916,"English",0,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",1
"9",9,9,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_DIGHMRZLPU","stimulus1_A",0.783305834923916,"English",0,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",1
"10",10,10,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_WHUJSAETKQ","stimulus1_A",0.783305834923916,"English",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",0
"11",11,11,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_GQNFBXPZSD","stimulus1_A",0.783305834923916,"English",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",0
"12",12,12,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_VPMSCXUJAN","stimulus1_A",0.783305834923916,"English",0,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",0
"13",13,13,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_WJXGTNHBDP","stimulus1_A",0.783305834923916,"English",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",1
"14",14,14,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_NZLPFAHTKB","stimulus1_A",0.783305834923916,"English",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",0
"15",15,15,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_GWZSFPCMOA","stimulus1_A",0.783305834923916,"English",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",0
"16",16,16,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_MRIPLFQBAU","stimulus1_A",0.783305834923916,"French",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",1
"17",17,17,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_BPRVUJKCQT","stimulus1_A",0.783305834923916,"French",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",1
"18",18,18,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_VOXKQDNAGI","stimulus1_A",0.783305834923916,"French",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",1
"19",19,19,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_PCJRBVAFGK","stimulus1_A",0.783305834923916,"French",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",1
"20",20,20,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_PCJRBVAFGK","stimulus1_A",0.783305834923916,"French",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",0
"21",21,21,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_ANMRJVBCHE","stimulus1_A",0.783305834923916,"French",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",0
"22",22,22,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_BNIGQTFEXV","stimulus1_A",0.783305834923916,"French",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",1
"23",23,23,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_GWMVXJRQTZ","stimulus1_A",0.783305834923916,"French",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",0
"24",24,24,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_FGDYRSVPKC","stimulus1_A",0.783305834923916,"French",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",1
"25",25,25,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_EZLPMDFCRW","stimulus1_A",0.783305834923916,"French",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",1
"26",26,26,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_CLBQXPARZD","stimulus1_A",0.783305834923916,"French",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",1
"27",27,27,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_JYDIRUCSPN","stimulus1_A",0.783305834923916,"French",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",1
"28",28,28,"stimulus1_Ahindi",-0.00612307883098991,0.0192683143691099,0.0114122414350113,"X_JYDIRUCSPN","stimulus1_A",0.783305834923916,"French",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","hindi",1
"29",29,29,"stimulus1_Akabarde",-0.0410199286785632,-0.0348442397434441,0.0246906297133994,"X_USOZJQCKNP","stimulus1_A",0.783305834923916,"English",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","kabarde",1
"30",30,30,"stimulus1_Akabarde",-0.0410199286785632,-0.0348442397434441,0.0246906297133994,"X_PAUOGDRHWC","stimulus1_A",0.783305834923916,"English",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","kabarde",1
"31",31,31,"stimulus1_Akabarde",-0.0410199286785632,-0.0348442397434441,0.0246906297133994,"X_YNBAOIZRUF","stimulus1_A",0.783305834923916,"English",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","kabarde",1
"32",32,32,"stimulus1_Akabarde",-0.0410199286785632,-0.0348442397434441,0.0246906297133994,"X_WBDYKIXFME","stimulus1_A",0.783305834923916,"English",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","kabarde",1
"33",33,33,"stimulus1_Akabarde",-0.0410199286785632,-0.0348442397434441,0.0246906297133994,"X_ADBVFQEMRU","stimulus1_A",0.783305834923916,"English",1,"ɑ","æ","ɑ","HADI","HAEDI","HADI","kabarde",0
